variant,station,count,baseline_rmse,variant_rmse,rmse_delta,rmse_delta_pct,baseline_mae,variant_mae,mae_delta,baseline_r2,variant_r2,r2_delta
cross_residual,AU-MvB_CRO_Merged,8445,6.632921017481688,6.94617746957752,0.31325645209583186,4.7227526344760475,3.6186328639780863,3.8984564412903544,0.27982357731226815,0.6399660375334218,0.6051559767593336,-0.034810060774088214
cross_residual,AU-Sil_GRA_Merged,44625,3.7818969234305806,2.986555335486441,-0.7953415879441397,-21.03022911641602,2.076596716279743,1.66156491870239,-0.415031797577353,0.42250899582167534,0.639863632797363,0.2173546369756877
cross_residual,AU-Sno_EBF_Merged,13419,2.4331816530924,2.196184991889888,-0.23699666120251184,-9.740195965282988,1.4119084135272018,1.213125166785336,-0.19878324674186576,0.8690141378108002,0.8932880156978107,0.02427387788701052
cross_residual,CA-TP3_ENF_Merged,70034,2.8155723664598,2.571382572283473,-0.2441897941763269,-8.67282962019415,1.5459387207486068,1.4003030213435597,-0.14563569940504717,0.8678747817982677,0.8897989528004241,0.02192417100215638
cross_residual,CA-TP4_ENF_Merged,70034,2.9251529152402527,2.5046361732888096,-0.42051674195144306,-14.375889197467977,1.5906841931972335,1.3568968380386397,-0.23378735515859383,0.8476611565389183,0.888312954380227,0.04065179784130868
cross_residual,CH-Crs_GRA_Merged,8689,3.6007448268923525,3.5132062898953076,-0.08753853699704495,-2.4311230371910493,1.8448330086714544,1.8864062963194423,0.041573287647987955,0.7945572875939066,0.8044249937899907,0.009867706196084014
cross_residual,CH-Fru_GRA_Merged,78817,3.630491039701685,3.5992340549620923,-0.03125698473959293,-0.8609574957706353,1.8438719080806616,1.8961401309267911,0.05226822284612953,0.7901497368192918,0.7937476248559981,0.0035978880367063537
cross_residual,CN-Yuc_CRO_Merged,33233,3.6558526190087752,5.204275155743598,1.5484225367348223,42.35462142767264,1.8377446203619503,2.5518289784909056,0.7140843581289553,0.859398546613021,0.7150734290548638,-0.14432511755815713
cross_residual,CZ-KrP_CRO_Merged,68186,3.9425876623230964,4.24171485336742,0.29912719104432384,7.587077743455137,1.9230614546698976,2.011973581369193,0.08891212669929538,0.6629815419351164,0.6099018325065304,-0.053079709428585975
cross_residual,DE-Amv_WET_Merged,17449,4.04965691704298,3.7982208438892093,-0.2514360731537706,-6.208824063480587,1.9806186643136772,1.8842697032126898,-0.09634896110098734,0.4026065332295218,0.4744858301457552,0.0718792969162334
cross_residual,DE-Har_ENF_Merged,43657,2.524834889196612,2.647208401087533,0.12237351189092083,4.846792652245841,1.3461390975457845,1.459855582177411,0.11371648463162654,0.8260480248808204,0.8087772042581172,-0.017270820622703242
cross_residual,DE-RuM_CRO_Merged,34267,4.911591836675577,4.495957598575113,-0.4156342381004645,-8.46231225886611,2.602424163659307,2.420230749688922,-0.1821934139703849,0.6758938661631342,0.7284266647097856,0.05253279854665138
