variant,station,baseline_rmse,candidate_rmse,rmse_delta,rmse_delta_percent,outcome
huber_delta1,AU-MvB_CRO_Merged,6.632921000735733,6.54365208910038,-0.08926891163535267,-1.3458461456943456,win
huber_delta1,AU-Sil_GRA_Merged,3.7818969144743866,3.6470052156480732,-0.13489169882631336,-3.5667735498036652,win
huber_delta1,AU-Sno_EBF_Merged,2.4331816526862817,2.2124476902781507,-0.22073396240813103,-9.0718242168412,win
huber_delta1,CA-TP3_ENF_Merged,2.8155723589413877,2.738464554323618,-0.07710780461776956,-2.7386191788997714,win
huber_delta1,CA-TP4_ENF_Merged,2.9251529042662403,2.704229757828632,-0.22092314643760824,-7.55253327494091,win
huber_delta1,CH-Crs_GRA_Merged,3.6007448521425434,3.4245154887383413,-0.17622936340420203,-4.894247458254107,win
huber_delta1,CH-Fru_GRA_Merged,3.6304910547258857,3.6574709617603878,0.026979907034502038,0.7431475970552724,loss
huber_delta1,CN-Yuc_CRO_Merged,3.6558525925268204,4.586153757385336,0.9303011648585158,25.446900314312682,loss
huber_delta1,CZ-KrP_CRO_Merged,3.9425876544000036,4.3558161488491915,0.41322849444918797,10.481149201287055,loss
huber_delta1,DE-Amv_WET_Merged,4.049656920184496,4.089346109416801,0.03968918923230458,0.9800630032258731,loss
huber_delta1,DE-Har_ENF_Merged,2.5248348781400183,2.6297238952880178,0.10488901714799947,4.154292150196711,loss
huber_delta1,DE-RuM_CRO_Merged,4.911591817606319,5.041349706194285,0.12975788858796555,2.6418703631443767,loss
huber_delta1,DE-RuR_GRA_Merged,3.421901756046453,3.547560766328999,0.1256590102825461,3.672198071160529,loss
huber_delta1,DE-RuS_CRO_Merged,4.877501854900731,5.055705760262512,0.178203905361781,3.653589699463228,loss
huber_delta1,ES-HeB_ENF_Merged,1.9311561437161824,2.741874786469929,0.8107186427537465,41.98099907103607,loss
huber_delta1,ES-LM2_SAV_Merged,1.5439512517632008,1.4882686612196807,-0.055682590543520094,-3.6064992647876846,win
huber_delta1,FR-CLt_GRA_Merged,4.098979543379275,3.9119896881713925,-0.18698985520788236,-4.5618635865092525,win
huber_delta1,FR-Mej_GRA_Merged,4.57583638948323,4.682041483971706,0.10620509448847582,2.3209985114976988,loss
huber_delta1,IL-Yat_ENF_Merged,1.9981740888034087,1.8158381406176753,-0.1823359481857334,-9.125128246204207,win
huber_delta1,IT-BsB_DBF_Merged,2.700881345124452,2.8031362296734077,0.1022548845489557,3.7859821103782694,loss
huber_delta1,IT-SR2_ENF_Merged,3.6563873842556567,3.678985653984845,0.022598269729188214,0.6180491111662837,loss
huber_delta1,KR-ScC_ENF_Merged,3.5758855484089986,3.3399764385373114,-0.23590910987168723,-6.597222049700363,win
huber_delta1,RU-Fy2_ENF_Merged,3.1456341068885294,2.957109680420803,-0.1885244264677266,-5.993209002117654,win
huber_delta1,RU-Fyo_ENF_Merged,2.9469995359303716,3.027923314050844,0.08092377812047236,2.745971865072745,loss
huber_delta1,US-CMW_DBF_Merged,2.382826821757898,2.5772850840213612,0.1944582622634634,8.160822284181126,loss
huber_delta1,US-CRK_ENF_Merged,2.5601957364932093,2.779728573354393,0.21953283686118352,8.574845810886531,loss
huber_delta1,US-MMS_DBF_Merged,2.7626054892362983,2.7570544512626785,-0.005551037973619888,-0.20093487815208932,win
huber_delta1,US-Mo1_CRO_Merged,6.207412030197039,6.431510037740158,0.2240980075431187,3.6101680773397162,loss
huber_delta1,US-Ne2_CRO_Merged,4.087748668952957,4.013939961230625,-0.07380870772233283,-1.8056077733672973,win
huber_delta1,US-Ro1_CRO_Merged,5.4494005935218714,5.531342564779062,0.08194197125719072,1.50368778824228,loss
huber_delta1,US-SP1_ENF_Merged,2.8599370910779878,3.0966626364628436,0.2367255453848558,8.27729904001586,loss
