variant,diagnostic,shape,minimum,mean,maximum
adamw_tcn_control,state_to_forcing_attention_entropy,129,0.4630076289176941,2.2377429586048274,3.888425588607788
bidirectional_cross_attention,state_to_forcing_attention_entropy,129,3.0452466011047363,4.008358676304189,4.460981369018555
bidirectional_cross_attention,bidirectional_fusion_gate,129,0.5225641131401062,0.6372799115587574,0.8320916891098022
bidirectional_cross_attention,forcing_to_state_attention_entropy,129,3.8204879760742188,4.412819871606753,4.544305801391602
gpp_query_pooling,state_to_forcing_attention_entropy,129,2.040278434753418,2.714825835338859,3.8847336769104004
gpp_query_pooling,pooling_weights,129x4x96,6.751093195589419e-08,0.010416666645941063,0.04462612792849541
gpp_query_pooling,pooling_attention_entropy,129,4.173128128051758,4.416118144989014,4.537513256072998
gpp_query_pooling,pooling_max_weight_per_head,derived,0.010710421949625015,0.01596351642009997,0.04462612792849541
gpp_query_pooling,pooling_last_step_weight,derived,7.566780624301828e-08,0.008324658894179746,0.04099417105317116
modern_tcn,block_rms_activation,129x4,1.1877388954162598,2.3905541899130327,4.346821308135986
pre_ln_encoder,state_to_forcing_attention_entropy,129,0.5405995845794678,2.4381034124729246,3.7611329555511475
time_mixer_pp,scale_weights,129x3,0.00037755045923404396,0.33333333275569377,0.9989867806434631
time_mixer_pp,scale_rms_activation,129x3,1.9254155158996582,2.8617292852056737,4.513378143310547
time_mixer_pp,top_frequency_indices,3x2x3,0.0,2.111111111111111,4.0
timexer,cross_attention_entropy_by_layer,129x2,0.7974814772605896,1.8014841881371284,2.9807629585266113
zero_init_gated_residual,state_to_forcing_attention_entropy,129,1.1508996486663818,2.224739050680353,3.550741195678711
zero_init_gated_residual,alpha_attn,,-0.14433208107948303,-0.14433208107948303,-0.14433208107948303
zero_init_gated_residual,alpha_ffn,,-0.17063158750534058,-0.17063158750534058,-0.17063158750534058
