variant,display_name,parameter_count,mean_batch_latency_ms,samples_per_second,peak_allocated_memory_mb,training_elapsed_minutes,latency_change_pct_vs_control
adamw_tcn_control,AdamW-TCN 控制组,226537,5.289309998624958,48399.50769883999,125.15234375,31.23465536666675,0.0
zero_init_gated_residual,零初始化门控残差,243499,6.017399998381734,42543.29113385289,149.4228515625,42.81707780666668,13.765311542451752
pre_ln_encoder,Pre-LN 状态编码器,226665,4.946479998761788,51753.97455646892,131.15625,30.860534350000187,-6.481563756941721
bidirectional_cross_attention,双向交叉注意力,276073,6.019970000488684,42525.128859316355,161.912109375,37.10425917166673,13.813900150561654
gpp_query_pooling,GPP query 汇聚,243369,5.198160000145435,49248.195513958315,131.4765625,30.51627519333318,-1.7232871301402053
modern_tcn,ModernTCNGPP,115881,3.0818500003078952,83066.98897559066,85.16015625,16.60888232666669,-41.73436608727656
time_mixer_pp,TimeMixerPlusPlusGPP,107690,8.598760000313632,29771.734528078774,89.33154296875,22.45363295833328,62.56865267017852
timexer,TimeXerGPP,157481,2.847210000618361,89912.58106862563,91.103515625,18.92654515166699,-46.17048345892868
